Task,Start,Finish,Dependencies
Project Planning,2024-10-01,2024-10-05,
Design and Development,2024-10-06,2024-10-20,Project Planning
Documentation and Reporting,2024-10-21,2024-10-25,Design and Development 
Team Collaboration and Communication,2024-10-01,2024-12-03,Project Planning
Project Review and Presentation,2024-12-04,2024-12-08,"Documentation and Reporting, Team Collaboration and Communication"
Delegating Roles,2024-10-01,2024-10-01,Project Planning
Creating a SOW,2024-10-03,2024-10-04,Project Planning
Critical Path Analysis,2024-11-21,2024-11-26,Design
Software,2024-10-03,2024-10-07,Project Planning
Cost Estimates,2024-11-27,2024-11-28,Project Planning
Figma Mockup,2024-10-08,2024-10-10,Design
AOA Diagram,2024-11-19,2024-11-26,Design
Use Streamlit,2024-10-01,2024-12-05,Implementation
Create Several Webpages,2024-10-10,2024-11-26,Implementation
Create Functional Gantt Chart,2024-10-15,2024-10-17,Implementation
